36160913cd6c1e75ba359243a12bd21ada0a27b3a38698aa392f381763356dc88a5c1, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
292674f815c6714be4983ed9907355e417634f3a9cbfb0984669ecbd7b8bec2249730, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
